id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63
0,0.017187193,-0.0180586,0.087545123,0.014339739,-0.073225457,0.049429675,0.17825548,0.129465,-0.096199889,-0.17298182,-0.085200983,0.0056492192,-0.31782933,-0.029908597,-0.17031476,-0.1001002,-0.074399648,-0.043237909,0.056269474,0.14251051,-0.017570557,0.18679416,-0.090931433,0.048051068,0.12350345,0.012851385,-0.10163559,-0.12599892,-0.062570653,0.030100449,-0.13801378,-0.028594088,-0.021765896,0.07393304,0.029343683,0.048579087,-0.089377704,-0.017718051,0.10716865,0.20415051,-0.17211297,0.20695184,0.1839798,0.10680447,0.036150815,-0.042912928,0.19930994,0.26796531,0.24628165,0.17977334,0.048853538,-0.16517592,-0.00060887545,0.089739454,-0.1761177,0.054012783,0.058761929,0.09514833,-0.16186772,-0.090454067,-0.059660253,-0.15991073,0.23776981,-0.067790491
1,0.041519126,-0.032634338,0.19984948,0.16664223,0.079935182,-0.2781041,0.0065665561,0.086287762,0.12670959,-0.077985802,0.22995533,-0.16665107,-0.083491188,0.11801229,0.0061911633,0.25272117,0.023792932,-0.079915174,-0.04765214,-0.13771312,-0.1612555,0.079563983,0.073348706,0.16338575,-0.095238496,0.21318158,-0.036271088,0.19870544,-0.054621729,-0.092825053,0.031525312,0.13017928,0.020320955,-0.07389936,-0.16927481,-0.17688531,0.063443402,0.12491129,-0.020735555,-0.13559516,0.1101863,-0.16159801,-0.08999604,0.078378416,-0.28398942,0.048763553,-0.073408658,0.013792147,-0.0095542595,0.025508777,0.087611164,-0.095713544,0.17934157,0.091640008,0.10648716,0.14701702,0.099401196,0.10653083,0.0095406395,-0.18007256,-0.017043988,-0.097120136,-0.17956367,0.032619224
2,-0.072201966,-0.13077825,-0.13245414,0.034087168,0.045548931,0.16794323,-0.0017670696,0.13230666,0.17807823,0.14606332,-0.30037773,0.15603459,0.043129463,0.053816119,0.047143392,0.048607592,0.040563463,-0.045579582,-0.24149493,-0.01383144,-0.10206855,0.13717351,-0.036671409,0.01060081,-0.10789426,-0.064845628,-0.0014646215,-0.18863268,0.038184992,-0.013470465,-0.15057846,-0.30455948,0.065154179,-0.037791177,-0.067307513,-0.029990054,0.23068026,-0.006324389,0.011000065,-0.18884828,0.20920101,0.11651482,0.13549357,0.006054117,0.11640901,0.047107759,0.077870899,-0.019327485,-0.18717388,0.1306576,-0.24572689,-0.030470348,-0.025972984,-0.13243624,0.077862525,-0.025440528,-0.055479346,0.066016412,-0.060522341,0.17639114,0.044632437,-0.060237107,-0.24690861,-0.16607588
3,0.11873014,-0.0055282086,-0.030929817,0.17951597,-0.1401222,-0.063979813,-0.051627539,0.064054042,-0.07248748,-0.067012442,-0.17535352,0.079677311,0.08806618,-0.052041474,0.017843968,-0.1412143,-0.051542927,0.15053337,0.014827818,0.25239419,-0.085996369,0.063392801,-0.02135791,0.06181241,-0.00078780039,-0.06130773,-0.09478224,0.33494723,-0.0084495117,-0.22030881,-0.07085596,0.074072018,-0.054623102,0.14862108,0.10950636,-0.016642137,-0.05158693,-0.10976885,-0.076467399,-0.16093258,0.1315735,0.17377509,-0.137226,-0.1290922,-0.19319995,-0.10529564,-0.33934978,-0.12478754,0.1416807,-0.037762775,0.09335851,-0.053417114,0.19234298,0.021763442,-0.041731597,0.27883794,-0.035446721,-0.13341177,0.022057529,-0.004242509,0.11648995,-0.10068331,0.087910788,0.093157963
4,-0.078535064,0.019201172,-0.097715141,0.27591986,-0.082822672,-0.053291759,-0.12536656,-0.040711658,-0.00069115308,0.090309295,-0.071806979,-0.021851202,-0.16661105,-0.097321137,0.32414504,0.12247365,-0.091913067,-0.15730804,-0.11475051,-0.0025513336,0.0040847701,-0.087553572,-0.15133013,0.16730375,0.053128382,-0.044057635,-0.025954728,-0.062284708,-0.34534507,0.013604436,-0.12592013,-0.11793826,-0.075309279,0.086135175,-0.13768079,-0.1687038,0.075261015,0.088730774,-0.1127922,0.066150634,-0.034302542,0.035438746,-0.14831733,0.097967146,0.14153035,0.074934161,0.065673355,-0.44370452,0.030655929,-0.0029929423,-0.017295863,-0.074170174,0.006512168,0.048474289,-0.031027429,-0.054497354,0.14464675,-0.13001607,0.12116945,0.020797128,-0.094604459,-0.034108402,-0.10821197,0.079402792
5,0.047652638,-0.076265226,-0.15097253,0.041326516,0.13113458,-0.015592339,0.057302384,-0.051505016,0.0092550578,-0.039897467,0.040275403,-0.20679586,0.088235764,-0.031494205,0.049119097,-0.0466128,0.043880364,-0.14691057,0.1628803,-0.23333712,-0.14234613,0.032279543,0.20036775,0.038095386,-0.033956401,-0.19519678,-0.026199458,-0.0027225847,0.23155978,0.085213446,-0.2094422,0.27761104,-0.054105109,-0.12046095,0.20200872,-0.0068151228,-0.050323698,0.029967453,0.11572571,0.13605878,-0.18836358,0.27373507,0.12969308,-0.051939751,-0.1121331,-0.13272712,0.016899334,-0.088759786,-0.10476596,0.11111876,0.049935348,-0.054045031,0.10057102,0.18729195,-0.14991484,-0.082633815,0.12911236,0.098474392,0.03105129,0.15921861,-0.14905403,-0.20259978,-0.11868684,0.016785053
6,-0.096487182,-0.059051737,-0.11817181,-0.075197154,-0.12178206,0.04453758,0.09634226,-0.058230932,-0.025120996,-0.070422217,0.064388625,0.010793756,0.19321475,-0.13277323,0.04393597,0.053812575,-0.043686012,0.07072541,-0.17435159,0.25680283,-0.16265826,0.11148233,-0.13588213,0.13948914,-0.04663532,0.019201148,0.0064653614,0.133411,-0.038972143,-0.35962813,-0.092120524,0.022266272,-0.053385557,0.093303704,0.1230595,-0.017910215,-0.18054776,0.16776336,0.13126808,-0.036262516,0.25552844,-0.042284348,-0.137821,-0.018892147,0.13063543,-0.11362108,0.23649207,-0.10866063,0.11567774,0.065989842,-0.018671999,0.13096259,-0.18177837,0.1645402,-0.0077186215,-0.065744151,0.090801273,0.12846171,0.093300623,0.24234354,0.13098599,0.15556337,-0.065432503,0.012910878
7,0.069037853,-0.0021757084,0.036989153,0.052252697,0.10352858,-0.012460172,-0.042895442,-0.10157532,-0.10935203,0.14377623,-0.010364765,0.09650201,-0.15909411,-0.23767514,-0.12864875,0.14060944,0.13097701,0.040717481,-0.098369127,-0.016040165,-0.036513997,-0.042303652,-0.30731622,-0.10520644,-0.023312815,0.18595765,0.019711721,0.17178919,-0.048279788,-0.030986886,-0.47818123,0.056817623,0.06708966,0.21628758,-0.059690921,0.011546007,-0.086518015,-0.14424294,-0.087447542,-0.04230674,0.16621568,0.00027120607,-0.096943526,0.017398301,0.026680504,-0.082925495,0.14019332,-0.23156587,-0.026186712,0.081556224,-0.16413031,0.044300097,0.15854587,0.055633142,-0.20726221,-0.08929765,0.15111583,0.03658448,-0.0012089894,0.05410388,0.088421335,-0.08687821,-0.0356114,0.017525323
8,-0.072307808,-0.017739595,0.17252492,-0.12865142,0.25610953,0.24981955,-0.22776596,-0.018746015,0.045553681,-0.10114191,-0.098511162,-0.031559454,0.098258275,-0.067971145,0.24282076,0.038545982,-0.01363524,0.19264878,0.083250993,0.049088957,-0.044018192,0.24113147,0.10791471,-0.027039285,-0.20965566,0.049576111,-0.15203634,-0.22809914,-0.037107357,0.037415699,0.17047907,0.037546066,0.10714345,-0.16295548,-0.002995182,0.016511298,0.11461761,0.01542784,0.10688549,-0.06702275,0.047582622,0.055147816,-0.16613156,0.023334191,-0.042585501,-0.25310869,0.12740013,-0.048101547,-0.11330744,-0.050156374,0.018370841,0.20044504,-0.022057351,0.062796702,0.18258867,0.07092439,0.14204327,-0.063342025,0.10249489,-0.0077066973,0.14282051,-0.13340227,-0.10362591,0.16865134
9,-0.024953874,-0.045681749,0.0098719563,-0.087746248,0.16950441,-0.15896989,-0.019165276,0.044153615,-0.013292055,-0.10210005,-0.11051222,0.054136189,-0.13114014,0.082241598,-0.19396489,-0.070627794,0.0046203466,-0.15935031,0.08297566,-0.0023592709,-0.13185194,-0.19329548,-0.19923872,0.0064946392,-0.14721954,-0.17369616,-0.029426081,0.28983736,0.035320109,0.097089938,0.027070784,0.099643221,-0.17092302,-0.054787454,0.033259812,-0.0022801148,-0.02443328,-0.084740164,-0.032882134,-0.098525315,-0.30820528,-0.15201453,0.060532146,0.19815555,0.23079832,0.012312739,0.11369304,0.11555032,-0.088097708,-0.2160818,0.0039307562,-0.22425975,-0.040714614,0.077389687,-0.18071969,0.0041099481,0.15780615,0.046006498,0.066471267,0.11539284,0.2205389,0.019270277,0.15646771,-0.0081662491
10,-0.068546041,0.039511101,-0.07603157,-0.071929663,-0.076273513,-0.28808353,0.013240543,-0.15861563,-0.013462639,0.18197601,-0.06538731,-0.06802399,0.17117526,0.068563229,0.12255747,-0.044590257,0.093886984,-0.086116488,-0.084840513,0.074830682,-0.075097865,0.096275983,0.30016453,-0.21161787,-0.094404204,0.14058215,-0.018207803,0.14572072,-0.1267665,0.04158482,-0.018895329,0.017617002,0.041556185,-0.15311494,-0.1348079,0.17560988,0.036799317,0.013346826,-0.0055315274,0.044747295,-0.14507399,-0.12538132,0.16372022,0.018985554,0.10671565,-0.07601289,0.17278371,0.043333613,0.060397985,0.068867396,-0.10002737,-0.23415431,-0.13489139,0.20463616,0.16324026,-0.04353981,-0.037861404,0.13009756,-0.021136011,-0.16306153,0.15882996,0.059887532,-0.31580918,-0.039306422
11,0.018155453,0.060814656,0.019227186,-0.080338024,-0.014628349,0.037253607,-0.033867395,-0.046996704,0.15822453,-0.11962182,-0.044161332,-0.25668933,0.068361806,0.10466691,0.069311705,0.11596531,0.055691649,0.04328331,0.059892193,-0.033779486,0.15016774,-0.044048686,-0.18479588,0.10738626,0.23387137,-0.12133329,-0.012843019,-0.086618587,-0.048093906,0.0058247205,-0.15692603,-0.035086803,-0.18525276,-0.07180633,-0.14988238,-0.13383239,-0.21734331,0.15408856,0.064329262,-0.24230792,-0.075420477,-0.084722622,-0.087313884,-0.18284115,0.095330932,-0.050024891,0.059159486,0.066565573,0.17381358,-0.2293435,0.21970532,0.16033885,0.072417748,0.30121205,0.02590293,0.10380943,-0.0933126,0.14334755,0.021207992,-0.057017689,0.26751538,-0.038517214,0.0011197967,-0.024930061
